GMAT词汇精选
capture		/ 5kAptFE/  n&v.捕获,占领,v.赢得,引起注意
carbohydrate		/ 5ka:bEu5haidreit/  n.碳水化合物;糖类 carbohydrate metabolism  糖类代射作用
carcinogen		/ /  n.［医］致癌物,诱癌物
cardiac		/ 5ka:diAk/  a.心脏的,心脏病的;  强心剂;患心脏病的人
cardiopulmonary	/ 5ka:diou5pQlmEnEri/  a.心肺的
cardiovascular		/ kB:diou5vAskjulE/  a.［医］心血管的
cargo			/ 5ka:gEu/  n.船货,货物; a cargo liner 定期货轮
caricature		/ kArikE5tjuE/  n.讽刺画,滑稽模仿
caries			/ 5kerii:z/  n.［拉］［医］龋;骨疡
carol			/ 5kArEl/  n.赞美诗,赞歌
carpal			/ 5kB:pl/  n.［解］腕骨;    腕的
cartel			/ kB:5tel/  n.(经)卡特尔;为共同行动组织的政治联盟;
cartographer		/ kB:5tRgrEfE/  n.制图员
cascade		/ kAs5keid/  n.小瀑布
cash in on		/ /  靠…赚钱，趁机利用
casualty		/ 5kAVjuElti/  n.严重伤亡事故;伤已;受害者
catalog		/ 5kAtElRg/  n.(图书或商品)目录,目录册 vt.为....编目录;按目录分类
catalogue		/ 5kAtElRg/  n.(图书或商品)目录
catalyst		/ 5kAtElist/  n.催化剂; 促使事物发展的因素
catastrophe		/ kE5tAstrEfi/  n.灾难,灾祸
category		/ 5kAtigEri/  n.类别,种类
cater			/ 5keitE/  v.供应伙食提供娱乐节目;迎合,投合
caterpillar		/ 5kAtEpilE/  n.毛虫;履带拖拉机
cathedral		/ kE5Wi:drEl/  n.(一个教区内的)总教堂,大教堂; a.大教堂的)
caveat			/ 5keivi5At/  n.警告; 防止误解的说明
caviar			/ 5kAviB:/  n.鱼子酱, caviar to the general 曲高和寡的东西,阳春白雪
cedar			/ 5si:dE/  n.雪松(木材)
celebrity		/ si5lebriti/  n.名人,知名人士
celestial		/ si5lestjEl/  a.天体的,天空的
censure		/ 5senFE/  n.v.责难,非难
